machineId,timestamp,temperature,vibration,pressure
MACH-001,2026-05-10T08:00:00Z,65.2,1.2,101.5
MACH-001,2026-05-10T09:00:00Z,65.8,1.3,101.4
MACH-001,2026-05-10T10:00:00Z,66.1,1.4,101.6
MACH-001,2026-05-10T11:00:00Z,67.5,1.8,102.1
MACH-001,2026-05-10T12:00:00Z,70.2,2.5,103.5
MACH-002,2026-05-11T08:00:00Z,62.1,0.8,100.2
MACH-002,2026-05-11T09:00:00Z,62.4,0.9,100.1
MACH-002,2026-05-11T10:00:00Z,62.5,0.8,100.3
MACH-002,2026-05-11T11:00:00Z,63.0,1.0,100.4
MACH-002,2026-05-11T12:00:00Z,62.8,0.9,100.2
MACH-003,2026-05-12T08:00:00Z,75.1,3.2,105.5
MACH-003,2026-05-12T09:00:00Z,78.4,3.8,106.1
MACH-003,2026-05-12T10:00:00Z,82.5,4.5,107.8
MACH-003,2026-05-12T11:00:00Z,88.9,5.2,109.2
MACH-003,2026-05-12T12:00:00Z,95.2,6.8,112.5
